,T_K18
0.0,319.22
0.025,326.97143396728785
0.05,332.2954669060789
0.075,336.169593731142
0.1,339.10981517872835
0.125,341.39962973485547
0.15,343.2068111484131
0.175,344.6405426801304
0.2,345.77871880553744
0.225,346.6808215213631
0.25,347.39406861730345
0.275,347.95655903399074
0.3,348.3991310112721
0.325,348.74666888011313
0.35,349.0191461600624
0.375,349.23250580773174
0.4,349.39941044505184
0.425,349.5298758303787
0.45,349.63179802351993
0.475,349.71138594364027
0.5,349.7735120914666
0.525,349.82199419509266
0.55,349.8598196020153
0.575,349.8893227196046
0.6,349.9123239078261
0.625,349.93023588171985
0.65,349.94414034998823
0.675,349.95483183355105
0.7,349.96281384571887
0.725,349.9682065919627
0.75,349.9704657196961
0.775,349.96767337358733
0.8,349.95484166977315
0.825,349.9199273728217
0.85,349.8345757175415
0.875,349.63296953647665
0.9,349.1651720705228
0.925,348.10258258381094
0.95,345.7851297730413
0.975,341.127212353165
1.0,333.0727784553105
