,T_K18
0.0,331.3689771241435
0.025,335.35468046254283
0.05,338.41932959720856
0.075,340.8329331875675
0.1,342.7524416966631
0.125,344.2820891720615
0.15,345.49890900325744
0.175,346.46376846092977
0.2,347.22622903704746
0.225,347.82691415483015
0.25,348.29896983705174
0.275,348.6692195626609
0.3,348.959190589295
0.325,349.1860379749514
0.35,349.36335679496534
0.375,349.5018757379856
0.4,349.61003513664673
0.425,349.6944598680033
0.45,349.7603410742982
0.475,349.8117413080551
0.5,349.85183671688424
0.525,349.8831081182891
0.55,349.9074907381257
0.575,349.9264901151871
0.6,349.9412689567007
0.625,349.95270572846846
0.65,349.96141842953284
0.675,349.9677315280604
0.7,349.97152920526315
0.725,349.97185769872107
0.75,349.96595273203803
0.775,349.9469338568578
0.8,349.8984054813018
0.825,349.7819349729622
0.85,349.5084785746532
0.875,348.8755428430842
0.9,347.4411424800641
0.925,344.32945877861016
0.95,338.1756485197866
0.975,327.9992064327206
1.0,315.39
