,Tl,L/G,alpha,CO2_capture
0,340.0,2.0,0.5,93.39302257794245
1,340.0,1.5,0.5,85.37137465749213
2,340.0,1.0,0.5,67.44486642598682
3,340.0,2.0,0.45,98.68275731329751
4,340.0,1.5,0.45,95.21031057420734
5,340.0,1.0,0.45,78.28291484261219
6,340.0,2.0,0.4,99.82768853185429
7,340.0,1.5,0.4,99.36561235667172
8,340.0,1.0,0.4,88.74816084023767
9,330.0,2.0,0.5,93.55312426125461
10,330.0,1.5,0.5,85.72787365978131
11,330.0,1.0,0.5,67.92061670191475
12,330.0,2.0,0.45,98.69742118767269
13,330.0,1.5,0.45,95.34426005685454
14,330.0,1.0,0.45,78.71353070701066
15,330.0,2.0,0.4,99.82859127475758
16,330.0,1.5,0.4,99.36821202586187
17,330.0,1.0,0.4,89.09154554941057
18,320.0,2.0,0.5,93.69035325246327
19,320.0,1.5,0.5,86.05295292826592
20,320.0,1.0,0.5,68.37192963104005
21,320.0,2.0,0.45,98.70778204336577
22,320.0,1.5,0.45,95.46132098952089
23,320.0,1.0,0.45,79.12064468183304
24,320.0,2.0,0.4,99.82874820317423
25,320.0,1.5,0.4,99.36895116615645
26,320.0,1.0,0.4,89.41162766461
