,L/G,alpha,CO2_capture
0,1.0,0.3,98.8730780342596
1,1.2,0.3,99.93372111263159
2,1.4,0.3,99.98015776497932
3,1.6,0.3,99.98685761923902
4,1.8,0.3,99.98854163937318
5,2.0,0.3,99.9890521526867
6,2.2,0.3,99.98917357065379
7,2.4000000000000004,0.3,99.98913461041627
8,2.6,0.3,99.98902119607249
9,2.8,0.3,99.98887237574948
10,3.0,0.3,99.98870868911388
11,1.0,0.32,96.84402418024716
12,1.2,0.32,99.77649855473418
13,1.4,0.32,99.95278876541204
14,1.6,0.32,99.97570108139091
15,1.8,0.32,99.98133003528979
16,2.0,0.32,99.98319258022026
17,2.2,0.32,99.98387127856553
18,2.4000000000000004,0.32,99.98408099642751
19,2.6,0.32,99.98407495418313
20,2.8,0.32,99.98396112805673
21,3.0,0.32,99.98379278067443
22,1.0,0.33999999999999997,93.73585975953839
23,1.2,0.33999999999999997,99.2238850077302
24,1.4,0.33999999999999997,99.86683712828808
25,1.6,0.33999999999999997,99.94704128404564
26,1.8,0.33999999999999997,99.96581063124064
27,2.0,0.33999999999999997,99.97207822505327
28,2.2,0.33999999999999997,99.97459286071894
29,2.4000000000000004,0.33999999999999997,99.97567239822716
30,2.6,0.33999999999999997,99.97610631494415
31,2.8,0.33999999999999997,99.97621651758317
32,3.0,0.33999999999999997,99.97615401328872
33,1.0,0.36,90.0092203670355
34,1.2,0.36,97.70574364509558
35,1.4,0.36,99.58573993839308
36,1.6,0.36,99.86444408236265
37,1.8,0.36,99.92725704580809
38,2.0,0.36,99.9478598273695
39,2.2,0.36,99.95630230329826
40,2.4000000000000004,0.36,99.96023064520053
41,2.6,0.36,99.96217152392144
42,2.8,0.36,99.96312626367254
43,3.0,0.36,99.96354958414946
44,1.0,0.38,85.95935575964175
45,1.2,0.38,94.92017077194286
46,1.4,0.38,98.74292809662144
47,1.6,0.38,99.61527239917564
48,1.8,0.38,99.82146218292974
49,2.0,0.38,99.88811644594408
50,2.2,0.38,99.91537419845714
51,2.4000000000000004,0.38,99.92834381761168
52,2.6,0.38,99.93513260292262
53,2.8,0.38,99.93888971087462
54,3.0,0.38,99.94101762165145
55,1.0,0.4,81.7377732223435
56,1.2,0.4,91.18317849641257
57,1.4,0.4,96.80204785658185
58,1.6,0.4,98.90504421582752
59,1.8,0.4,99.52257884446651
60,2.0,0.4,99.72951693278121
61,2.2,0.4,99.81438016875201
62,2.4000000000000004,0.4,99.85503342159137
63,2.6,0.4,99.87674013748229
64,2.8,0.4,99.88922755971076
65,3.0,0.4,99.89678113334921
66,1.0,0.42,77.42657744833696
67,1.2,0.42,86.89615040464676
68,1.4,0.42,93.61188612944433
69,1.6,0.42,97.24271258904314
70,1.8,0.42,98.73338487510355
71,2.0,0.42,99.30905027006013
72,2.2,0.42,99.55556300447182
73,2.4000000000000004,0.42,99.67557456778958
74,2.6,0.42,99.74050007902538
75,2.8,0.42,99.77852936567295
76,3.0,0.42,99.80215368190663
77,1.0,0.44,73.07538742657465
78,1.2,0.44,82.31086762998679
79,1.4,0.44,89.50257198407196
80,1.6,0.44,94.32808493793016
81,1.8,0.44,96.99990095624169
82,2.0,0.44,98.29605796673532
83,2.2,0.44,98.91911230039601
84,2.4000000000000004,0.44,99.2387858101761
85,2.6,0.44,99.4165205722926
86,2.8,0.44,99.52265487751278
87,3.0,0.44,99.58981228791684
88,1.0,0.45999999999999996,68.71773630195013
89,1.2,0.45999999999999996,77.57059209825353
90,1.4,0.45999999999999996,84.84427533299063
91,1.6,0.45999999999999996,90.34092410933484
92,1.8,0.45999999999999996,94.04431902769569
93,2.0,0.45999999999999996,96.27656040849892
94,2.2,0.45999999999999996,97.54288469660676
95,2.4000000000000004,0.45999999999999996,98.26195080584161
96,2.6,0.45999999999999996,98.68594951091082
97,2.8,0.45999999999999996,98.94849639312766
98,3.0,0.45999999999999996,99.11892381076208
99,1.0,0.48,64.37844011268056
100,1.2,0.48,72.76111321001376
101,1.4,0.48,79.88322536193421
102,1.6,0.48,85.64537794678553
103,1.8,0.48,90.00342163591658
104,2.0,0.48,93.06380792605655
105,2.2,0.48,95.08846412913681
106,2.4000000000000004,0.48,96.3897881468816
107,2.6,0.48,97.22751146685472
108,2.8,0.48,97.77815116372194
109,3.0,0.48,98.1507153430051
110,1.0,0.5,60.076747466318906
111,1.2,0.5,67.9373852925012
112,1.4,0.5,74.76809932183858
113,1.6,0.5,80.53288345406565
114,1.8,0.5,85.20456541315328
115,2.0,0.5,88.81632218047817
116,2.2,0.5,91.48778700383032
117,2.4000000000000004,0.5,93.40203612572589
118,2.6,0.5,94.75384871144466
119,2.8,0.5,95.70934391709991
120,3.0,0.5,96.39244415935023
